years,avg_temp,yield
2001,14,74.9
2002,13.5,93
2003,13.5,79.2
2004,13.4,92.2
2005,14.3,77.9
2006,14.5,77.2
2007,14,99.1
2008,13,93.1
2009,13.9,82
2010,13,58.4
2011,14.3,82.8
2012,14,88.8
2013,12.9,68.7
2014,14.3,85.3
2015,13.7,78
2016,13.5,83.4
2017,14.5,65.4
2018,15,104.7
